NO_RELATION	In unanesthetized , spontaneously <e2> hypertensive </e2> rats the decrease in blood pressure and heart rate produced by intravenous <e1> clonidine </e1> , 5 to 20 micrograms / kg , was inhibited or reversed by nalozone , 0 . 2 to 2 mg / kg .
NO_RELATION	In unanesthetized , spontaneously <e2> hypertensive </e2> rats the decrease in blood pressure and heart rate produced by intravenous clonidine , 5 to 20 micrograms / kg , was inhibited or reversed by <e1> nalozone </e1> , 0 . 2 to 2 mg / kg .
CID	The <e2> hypotensive </e2> effect of 100 mg / kg <e1> alpha - methyldopa </e1> was also partially reversed by naloxone .
NO_RELATION	The <e2> hypotensive </e2> effect of 100 mg / kg alpha - methyldopa was also partially reversed by <e1> naloxone </e1> .
NO_RELATION	In brain membranes from spontaneously <e2> hypertensive </e2> rats <e1> clonidine </e1> , 10 ( - 8 ) to 10 ( - 5 ) M , did not influence stereoselective binding of [ 3H ] - naloxone ( 8 nM ) , and naloxone , 10 ( - 8 ) to 10 ( - 4 ) M , did not influence clonidine - suppressible binding of [ 3H ] - dihydroergocryptine ( 1 nM ) .
NO_RELATION	In brain membranes from spontaneously <e2> hypertensive </e2> rats clonidine , 10 ( - 8 ) to 10 ( - 5 ) M , did not influence stereoselective binding of <e1> [ 3H ] - naloxone </e1> ( 8 nM ) , and naloxone , 10 ( - 8 ) to 10 ( - 4 ) M , did not influence clonidine - suppressible binding of [ 3H ] - dihydroergocryptine ( 1 nM ) .
NO_RELATION	In brain membranes from spontaneously <e2> hypertensive </e2> rats clonidine , 10 ( - 8 ) to 10 ( - 5 ) M , did not influence stereoselective binding of [ 3H ] - naloxone ( 8 nM ) , and <e1> naloxone </e1> , 10 ( - 8 ) to 10 ( - 4 ) M , did not influence clonidine - suppressible binding of [ 3H ] - dihydroergocryptine ( 1 nM ) .
NO_RELATION	In brain membranes from spontaneously <e2> hypertensive </e2> rats clonidine , 10 ( - 8 ) to 10 ( - 5 ) M , did not influence stereoselective binding of [ 3H ] - naloxone ( 8 nM ) , and naloxone , 10 ( - 8 ) to 10 ( - 4 ) M , did not influence <e1> clonidine </e1> - suppressible binding of [ 3H ] - dihydroergocryptine ( 1 nM ) .
NO_RELATION	In brain membranes from spontaneously <e2> hypertensive </e2> rats clonidine , 10 ( - 8 ) to 10 ( - 5 ) M , did not influence stereoselective binding of [ 3H ] - naloxone ( 8 nM ) , and naloxone , 10 ( - 8 ) to 10 ( - 4 ) M , did not influence clonidine - suppressible binding of <e1> [ 3H ] - dihydroergocryptine </e1> ( 1 nM ) .
CID	<e1> Lidocaine </e1> - induced <e2> cardiac asystole </e2> .
